               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,             0.03235,            0.034348,            0.005464,             0.47468,             0.56146,              0.4049,             0.23343,            0.039048,            0.038616,           0.0095756,            0.007228,            0.007228,            0.007228
                  58,            0.033371,            0.034095,           0.0060572,             0.51056,             0.39239,             0.37729,             0.22117,             0.03916,            0.040069,              0.0106,           0.0071785,           0.0071785,           0.0071785
                  59,            0.031955,            0.037886,           0.0047346,             0.65665,             0.35348,             0.37367,             0.22109,            0.039089,            0.040832,             0.01047,            0.007129,            0.007129,            0.007129
                  60,             0.03022,            0.036053,           0.0049832,             0.51063,             0.37631,             0.34949,              0.2031,            0.038845,            0.039054,            0.010067,           0.0070795,           0.0070795,           0.0070795
                  61,            0.032547,            0.034858,           0.0046443,             0.53573,             0.34733,             0.35767,             0.21134,            0.039419,            0.040217,            0.010766,             0.00703,             0.00703,             0.00703
                  62,            0.032278,            0.034425,           0.0046758,             0.49491,             0.37576,              0.3686,             0.21582,            0.038999,             0.04017,            0.011789,           0.0069805,           0.0069805,           0.0069805
                  63,            0.032025,            0.035948,           0.0052125,             0.56099,             0.33952,             0.36394,             0.20751,            0.038482,            0.041596,            0.011051,            0.006931,            0.006931,            0.006931
                  64,            0.032146,            0.035254,           0.0047251,             0.51137,             0.34107,             0.35931,              0.2057,            0.040153,            0.043293,            0.011276,           0.0068815,           0.0068815,           0.0068815
                  65,            0.031737,            0.034804,            0.005389,             0.52364,             0.36214,             0.38473,              0.2254,            0.039748,            0.042408,            0.010051,            0.006832,            0.006832,            0.006832
                  66,            0.031562,            0.032105,           0.0049188,             0.52144,             0.33154,             0.33809,             0.19552,            0.039389,            0.043539,             0.01109,           0.0067825,           0.0067825,           0.0067825
                  67,            0.030493,            0.032988,           0.0046146,             0.61012,             0.34631,              0.3612,             0.20201,            0.039193,            0.041598,            0.010926,            0.006733,            0.006733,            0.006733
                  68,            0.031602,             0.03517,           0.0047506,             0.66987,             0.32491,             0.39834,             0.22507,            0.039429,            0.043895,            0.011302,           0.0066835,           0.0066835,           0.0066835
                  69,            0.031311,            0.038239,           0.0050593,             0.50747,             0.47986,              0.4166,             0.23587,            0.038587,            0.042131,            0.009662,            0.006634,            0.006634,            0.006634
                  70,            0.030665,            0.034108,           0.0043763,             0.40522,             0.42288,              0.4005,             0.22784,            0.038927,            0.041516,           0.0092827,           0.0065845,           0.0065845,           0.0065845
                  71,            0.030084,            0.033728,           0.0049733,             0.49832,             0.47755,             0.41711,               0.244,            0.039608,            0.044375,              0.0104,            0.006535,            0.006535,            0.006535
                  72,            0.030105,             0.03323,            0.004939,             0.58313,             0.44541,             0.45212,             0.27815,            0.039275,            0.043564,            0.010538,           0.0064855,           0.0064855,           0.0064855
                  73,            0.028832,            0.033138,           0.0045223,             0.46391,              0.4155,             0.37673,             0.22269,            0.038563,             0.04182,            0.010167,            0.006436,            0.006436,            0.006436
                  74,            0.030164,            0.031786,           0.0048844,             0.61107,              0.3212,             0.36612,             0.20879,            0.039897,            0.045462,            0.011967,           0.0063865,           0.0063865,           0.0063865
                  75,            0.029932,             0.03428,           0.0041592,             0.65285,             0.31597,             0.34433,             0.19631,            0.040129,            0.044544,            0.011352,            0.006337,            0.006337,            0.006337
                  76,            0.030105,            0.030927,           0.0041273,             0.54058,             0.35055,             0.36713,             0.20734,            0.038784,            0.041563,            0.010271,           0.0062875,           0.0062875,           0.0062875
                  77,            0.030393,            0.035161,           0.0039936,             0.73274,             0.31442,             0.35709,             0.21036,            0.039382,            0.042869,           0.0098937,            0.006238,            0.006238,            0.006238
                  78,            0.030094,            0.031773,           0.0046487,             0.37965,             0.37747,             0.35502,             0.20278,            0.038883,            0.043502,           0.0099002,           0.0061885,           0.0061885,           0.0061885
                  79,            0.028911,            0.031521,           0.0043168,             0.68489,             0.33507,             0.37254,             0.21213,            0.038965,            0.046223,             0.01065,            0.006139,            0.006139,            0.006139
                  80,            0.029268,            0.031742,           0.0041779,             0.58214,              0.4408,             0.39326,             0.22409,            0.039884,            0.045286,            0.010824,           0.0060895,           0.0060895,           0.0060895
                  81,            0.029777,            0.031792,           0.0043196,             0.52003,             0.47539,             0.38491,             0.22194,            0.038814,            0.045217,            0.010019,             0.00604,             0.00604,             0.00604
                  82,            0.028867,            0.030101,           0.0039179,             0.49318,             0.36739,             0.35216,                 0.2,            0.039401,            0.044847,            0.012185,           0.0059905,           0.0059905,           0.0059905
                  83,            0.028608,            0.031093,           0.0042853,             0.44173,              0.4258,             0.38509,             0.21842,            0.038727,            0.042257,            0.011488,            0.005941,            0.005941,            0.005941
                  84,            0.028701,            0.032927,            0.004162,             0.44195,             0.41193,             0.39925,             0.23306,            0.038532,            0.041226,            0.010081,           0.0058915,           0.0058915,           0.0058915
                  85,            0.028866,            0.032019,           0.0043031,             0.42649,             0.48908,             0.42181,             0.24819,            0.038351,            0.042323,           0.0099245,            0.005842,            0.005842,            0.005842
                  86,            0.029207,            0.030971,           0.0045705,             0.49977,             0.38185,             0.42113,             0.23447,            0.038865,            0.044104,           0.0099827,           0.0057925,           0.0057925,           0.0057925
                  87,            0.028545,            0.031278,           0.0045078,             0.66656,             0.34854,             0.39105,             0.21838,            0.038418,            0.043407,           0.0098112,            0.005743,            0.005743,            0.005743
                  88,            0.028076,            0.028784,           0.0042469,             0.47904,             0.39956,             0.38153,             0.21679,            0.038597,            0.043526,            0.010158,           0.0056935,           0.0056935,           0.0056935
